# ==================== BEGIN ResultDisplay ====================

RESULT-DISPLAY-CHAT-PROMPT-ALL-SENTINEL     all
RESULT-DISPLAY-CHAT-PROMPT-CANCEL-SENTINEL  cancel

# - current_page: Integer
# - number_pages: Integer

RESULT-DISPLAY-TITLE                        &8Market Arama &e{current_page}&8/&e{number_pages}

ANY-CONTROL-LORE-SPACER                     &8&m                                                  \

PREVIOUS-PAGE-NAME-HAS                      &8» &6Önceki Sayfa &8«
PREVIOUS-PAGE-NAME-HAS-NOT                  &8» &cÖnceki Sayfa Yok &8«
PREVIOUS-PAGE-LORE-LEFT-CLICK-DESCRIPTION   &8➥ &eSol Tıklama &7Önceki sayfaya git
PREVIOUS-PAGE-LORE-RIGHT-CLICK-DESCRIPTION  &8➥ &eSağ Tıklama &7İlk sayfaya atla

NEXT-PAGE-NAME-HAS                      &8» &6Sonraki Sayfa &8«
NEXT-PAGE-NAME-HAS-NOT                  &8» &cSonraki Sayfa Yok &8«
NEXT-PAGE-LORE-LEFT-CLICK-DESCRIPTION   &8➥ &eSol Tıklama &7Sonraki sayfaya git
NEXT-PAGE-LORE-RIGHT-CLICK-DESCRIPTION  &8➥ &eSağ Tıklama &7En son sayfaya atla

# - owner: String
REPRESENTATIVE-LORE-OWNER                    &8♦ &7Sahibi: &e{owner}
# - name: String
REPRESENTATIVE-LORE-NAME                     &8♦ &7İsim: &e{name}
# - price: String
REPRESENTATIVE-LORE-PRICE                    &8♦ &7Fiyat: &e{price}
# - fees_absolute: String
# - fees_relative: Double
# - fees_relative_value: String
# - fees_total_value: String
# - fees_final_price: String
REPRESENTATIVE-LORE-FEES-ABSOLUTE-AND-RELATIVE &8♦ &7Distance-Fee: &e{fees_total_value} ({fees_relative}% + {fees_absolute} (fixed amount))
# - fees_absolute: String
# - fees_final_price: String
REPRESENTATIVE-LORE-FEES-ABSOLUTE              &8♦ &7Distance-Fee: &e{fees_absolute} (fixed amount)
# - fees_relative: Double
# - fees_relative_value: String
# - fees_final_price: String
REPRESENTATIVE-LORE-FEES-RELATIVE              &8♦ &7Distance-Fee: &e{fees_relative_value} ({fees_relative}%)
# - remaining_space: Integer
REPRESENTATIVE-LORE-REMAINING-SPACE          &8♦ &7Space: &e{remaining_space}
# - remaining_stock: Integer
REPRESENTATIVE-LORE-REMAINING-STOCK          &8♦ &7Stok: &e{remaining_stock}
# - loc_x: Integer
# - loc_y: Integer
# - loc_z: Integer
# - loc_world: String
REPRESENTATIVE-LORE-LOCATION-COORDINATES     &8♦ &7Koordinatlar: &e{loc_x} {loc_y} {loc_z}
REPRESENTATIVE-LORE-LOCATION-WORLD           &8♦ &7Dünya: &e{loc_world}
# distance: Integer
REPRESENTATIVE-LORE-DISTANCE                 &8♦ &7Mesafe: &e{distance} Blocks
REPRESENTATIVE-LORE-DISTANCE-OTHER-WORLD     &8♦ &7Mesafe: &cFarklı Dünya
REPRESENTATIVE-LORE-MODE-BUYING              &8♦ &7Yöntem: &eÖge Alma
REPRESENTATIVE-LORE-MODE-BUYING-UNLIMITED    &8♦ &7Yöntem: &eSınırsız Öğe Alma
REPRESENTATIVE-LORE-MODE-SELLING             &8♦ &7Yöntem: &eÖge Satma
REPRESENTATIVE-LORE-MODE-SELLING-UNLIMITED   &8♦ &7Yöntem: &eSınırsız Öğe Satma
# - player_warp_name: String
# - player_warp_owner: String
# - player_warp_world: String
# - player_warp_x: Integer
# - player_warp_y: Integer
# - player_warp_z: Integer
# - player_warp_distance: Integer
REPRESENTATIVE-LORE-NEAREST-PLAYER-WARP      &8♦ &7Player-Warp: &e{player_warp_name} ({player_warp_x}, {player_warp_y}, {player_warp_z})
REPRESENTATIVE-LORE-LEFT-CLICK-DESCRIPTION   &8➥ &eSol Tıklama &7Markete ışınlan
REPRESENTATIVE-LORE-RIGHT-CLICK-DESCRIPTION  &8➥ &eSağ Tıklama &7Açık önizleme
REPRESENTATIVE-LORE-SHIFT-LEFT-CLICK-BUYING-DESCRIPTION  &8➥ &eShift-Left-Click &7Markete satış yap
REPRESENTATIVE-LORE-SHIFT-LEFT-CLICK-SELLING-DESCRIPTION &8➥ &eShift-Left-Click &7Marketten satın al

SORTING-NAME                              &8» &6Sıralama &8«
SORTING-LORE-NO-PERMISSION                &8➥ &cSonuçları sıralama iznin bulunmuyor
SORTING-LORE-ENTRY-PREFIX-ACTIVE          &e➥ \
SORTING-LORE-ENTRY-PREFIX-INACTIVE        &8➥ \
SORTING-LORE-SELECTION-STYLE-ASCENDING    &a+ \
SORTING-LORE-SELECTION-STYLE-DESCENDING   &c- \
SORTING-LORE-SELECTION-STYLE-INACTIVE     &7/ &m
SORTING-LORE-CRITERIA-PRICE               Fiyat
SORTING-LORE-CRITERIA-OWNER-NAME          Sahibinin Adı
SORTING-LORE-CRITERIA-STOCK-LEFT          Stok Sol
SORTING-LORE-CRITERIA-SPACE-LEFT          Space Sol
SORTING-LORE-CRITERIA-ITEM-TYPE           Ürün tipi
SORTING-LORE-CRITERIA-SHOP-TYPE           Mağaza Tipi
SORTING-LORE-CRITERIA-SHOP-NAME           Mağaza adı
SORTING-LORE-CRITERIA-DISTANCE            Mesafe
SORTING-LORE-CRITERIA-WORLD-NAME          Dünya-Adı
SORTING-LORE-LEFT-CLICK-DESCRIPTION       &8➥ &eSol-Tıkla &Seçenekler üzerinden döngü
SORTING-LORE-RIGHT-CLICK-DESCRIPTION      &8➥ &eSağ-Tıkla &7Sıralama düzenini değiştir
SORTING-LORE-DROP-DESCRIPTION             &8➥ &eBırak &7Seçeneği aşağı taşı
SORTING-LORE-DROP-ALL-DESCRIPTION         &8➥ &eHepsini Bırak &7Reset choices

FILTERING-NAME                             &8» &6Filtreleme &8«
FILTERING-LORE-NO-PERMISSION               &8➥ &cSonuçları filtreleme iznin yok
FILTERING-LORE-ENTRY-PREFIX-ACTIVE         &e➥ \
FILTERING-LORE-ENTRY-PREFIX-INACTIVE       &8➥ \
FILTERING-LORE-SELECTION-STYLE-POSITIVE    &a
FILTERING-LORE-SELECTION-STYLE-NEGATIVE    &c
FILTERING-LORE-SELECTION-STYLE-INVARIANT   &7&m
FILTERING-LORE-CRITERIA-IS-BUYING          Satın alma
FILTERING-LORE-CRITERIA-IS-SELLING         Satış
FILTERING-LORE-CRITERIA-IS-UNLIMITED       Sınırsız
FILTERING-LORE-CRITERIA-HAS-STOCK-LEFT     Stok Tükendi
FILTERING-LORE-CRITERIA-HAS-SPACE-LEFT     Space Tükendi
FILTERING-LORE-CRITERIA-SAME-WORLD         Aynı Dünyada
FILTERING-LORE-CRITERIA-CAN-BUY            Sufficient Funds
FILTERING-LORE-LEFT-CLICK-DESCRIPTION      &8➥ &eSol Tıklama &7Seçenekler arasında döngü
FILTERING-LORE-RIGHT-CLICK-DESCRIPTION     &8➥ &eSağ Tıklama &7Durum değiştir
FILTERING-LORE-DROP-ALL-DESCRIPTION        &8➥ &eHepsini Bırak &7Seçenekleri sıfırla

ACTIVE-SEARCH-NAME                        &8» &6Search &8«
# - predicate: String
ACTIVE-SEARCH-LORE-PREDICATE              &8➥ &7Predicate: &e{predicate}
# - owner: String
ACTIVE-SEARCH-LORE-OWNER                  &8➥ &7Owner: &e{owner}
# - radius: String
ACTIVE-SEARCH-LORE-RADIUS                 &8➥ &7Radius: &e{radius}
# - price: String
ACTIVE-SEARCH-LORE-PRICE                  &8➥ &7Price: &e{price}
# - max_price: String
ACTIVE-SEARCH-LORE-MAX-PRICE              &8➥ &7Max-Price: &e{max_price}
# - min_price: String
ACTIVE-SEARCH-LORE-MIN-PRICE              &8➥ &7Min-Price: &e{min_price}

# ==================== END ResultDisplay ====================

